terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,fernandez_huerta,szigriszt_pazos,gutierrez_polini,crawford,gulpease_index,osman
BILL RATE,See DISCOUNT RATE.,palgrave,0,93.81,0.9,0.0,3.43,5.2,9.05,1,0.5,1.2,0th and 1st grade,125.8,120.77,45.65,-3.8,135.666666666667,84.9
central bank,"The government agency that over-sees the banking system and is responsible for the amount of money and credit supplied in the economy; in the United States, the Federal Reserve System.",fmi,0,41.03,15.0,0.0,12.49,17.9,10.39,9,19.0,16.0,14th and 15th grade,80.3,75.08,35.88,3.9,47.3333333333333,36.54
Calendar Spread,A position that is created by taking a long position in a call option that matures at one time and a short position in a similar call option that matures at a different time. (A calendar spread can also be created using put options.),opod,0,35.28,19.3,0.0,8.14,20.9,8.33,7,30.0,20.33,20th and 21st grade,72.0,66.55,38.8,3.7,52.6363636363636,45.67
Nest egg,"An amount of money saved for a special occasion, such as retirement or buying a house.",6_8_louis,1,72.16,7.2,0.0,7.42,7.5,9.36,4,9.0,11.4,7th and 8th grade,106.5,101.28,47.77,2.4,63.375,75.74
SENIOR SECURED DEBT,A form of SENIOR DEBT with COLLATERAL or SECURITY pledged in support of repayment in the event of a BORROWER’S DEFAULT.,palgrave,0,50.16,11.5,0.0,9.81,11.3,12.2,7,14.5,16.02,11th and 12th grade,89.4,84.97,42.58,3.6,56.1428571428571,59.72
DEBT SERVICE,"Contractually required CASH FLOWS that a BORROWER must pay on a LOAN, BOND, LEASE, or other form of DEBT, generally com- prised of COUPON INTEREST, a fractional portion of PRINCIPAL (payable into a SINKING FUND), and/or a LEASE payment. See also  COVERAGE.",palgrave,0,50.16,11.5,0.0,10.62,13.1,11.82,10,14.0,15.07,11th and 12th grade,89.4,84.97,41.2,3.6,52.3333333333333,53.97
mutual insurance company,An insurance company that is owned by the policyholders and has the objective of providing insurance for the lowest possible price.,fmi,0,33.24,13.8,0.0,13.11,14.0,9.19,5,17.5,16.02,13th and 14th grade,77.4,73.1,37.04,4.5,50.4285714285714,45.9
Scrips,"A scrip is better known as a substitute or alternative to legal tender. Holding a scrip entitles the bearer to receive something in return. Scrips come in many different forms, primarily as a form of credit, with the document acknowledging the debt. Scrips also represent a temporary document representing fractional shares resulting from a split or spin-off, or they may indicate currency issued by a private corporation such as frequent flier miles.",investopedia,1,44.75,11.5,14.6,12.41,12.4,11.11,23,13.0,14.98,11th and 12th grade,86.5,82.41,38.78,3.8,52.8888888888889,47.51
Nonprofit Organization (NPO),"A nonprofit organization is a business that has been granted tax-exempt status by the Internal Revenue Service (IRS) because it furthers a social cause and provides a public benefit. Donations made to a nonprofit organization are typically tax-deductible to individuals and businesses that make them, and the nonprofit itself pays no tax on the received donations or on any other money earned through fundraising activities. Nonprofit organizations are sometimes called NPOs or 501(c)(3) organizations based on the section of the tax code that permits them to operate.﻿﻿",investopedia,1,25.12,17.0,17.5,14.81,19.3,11.06,23,20.8333333333333,16.66,16th and 17th grade,69.3,66.84,32.42,4.6,43.7126436781609,27.94
Defeasance,"Defeasance is a provision in a contract that voids a bond or loan on a balance sheet when the borrower sets aside cash or bonds sufficient enough to service the debt. The borrower sets aside cash to pay off the bonds; therefore, the outstanding debt and cash offset each other on the balance sheet and do not need to be recorded.",investopedia,1,65.9,11.6,0.0,8.48,14.6,9.03,10,18.25,15.48,8th and 9th grade,97.7,93.61,42.39,2.4,54.7377049180328,59.63
PORTFOLIO INSURANCE,A technique that allows participants to bene- fit from a rising market by increasing exposure to COMMON STOCKS and protecting against a declining market by decreasing exposure. The primary downside RISK MANAGEMENT application is centered on the sale of INDEX FUTURES to protect an INVESTMENT PORTFOLIO against a fall in prices.,palgrave,0,37.13,14.4,0.0,14.16,16.9,11.71,18,18.75,18.83,18th and 19th grade,78.8,73.84,34.16,4.2,46.4509803921569,33.14
Characteristics of money,"Important features money should have. Money should be portable, durable, divisible, generally acceptable, relatively scarce, and uniform.",6_8_louis,1,20.55,12.5,0.0,19.57,16.4,11.49,6,6.25,15.16,12th and 13th grade,72.2,66.41,27.18,4.6,53.1176470588235,15.78
Escrow Agreement,"An escrow agreement is a contract that outlines the terms and conditions between parties involved, and the responsibility of each. Escrow agreements generally involve an independent third party, called an escrow agent, who holds an asset of value until the specified conditions of the contract are met. However, they should fully outline the conditions for all parties involved.",investopedia,1,43.43,12.0,12.5,14.1,14.3,9.49,14,12.3333333333333,11.17,11th and 12th grade,85.2,81.16,35.92,3.9,49.1724137931034,40.67
PAYBACK PERIOD,"Also know as PAYBACK RULE.where CI is the initial capital investment, CFp.a. is the annual cash flow from the investment. Also known as PAYBACK PERIOD. See also INTERNAL RATE OF RETURN, NET PRESENT VALUE.",palgrave,0,60.01,7.7,11.2,9.32,7.9,7.91,6,6.66666666666667,9.23,7th and 8th grade,99.3,92.89,44.73,2.9,65.1764705882353,66.25
Class Midpoint,Middle value of a class. It is the representative value of different observations in a class. It is equal to (upper class limit + lower class limit)/2.,ncert_kest,1,54.18,7.9,8.8,6.98,5.6,7.1,4,4.5,6.56,6th and 7th grade,96.0,95.13,48.14,2.3,75.5384615384615,75.74
Federal Savings and Loan Insurance Corporation @FSLIC@,An agency that provided deposit insurance to savings and loans similar to the Federal Deposit Insurance Corporation that insures banks. FSLIC was eliminated in 1989.,fmi,0,33.41,11.7,0.0,14.08,11.4,11.84,9,8.75,14.6,11th and 12th grade,80.1,77.21,36.89,4.2,56.6,43.98
Chapter 7,A type of bankruptcy that requires individuals unable to pay their debts to sell his or her assets to pay creditors. Also known as “liquidation” or “straight” bankruptcy.,6_8_louis,1,57.27,8.8,0.0,11.36,9.6,9.41,7,8.5,11.31,8th and 9th grade,96.6,90.49,41.45,3.2,59.3571428571429,58.77
Consumer price index CPI,"A price index that measures the cost of a  xed basket of consumer goods in which the weight assigned to each commodity is the share of expen-ditures on that commodity in a base year.     Consumer surplus.    The difference between the amount that a con-sumer would be willing to pay for a commodity and the amount actu-ally paid. This difference arises because the marginal utilities @in dollar terms@ of all but the last unit exceed the price. Under certain conditions, the money value of consumer surplus can be measured @using a demand curve diagram@ as the area under the demand curve but above the price line.     ",sam,1,35.95,16.9,14.1,10.34,18.6,9.28,19,15.25,15.9,15th and 16th grade,75.1,70.97,37.78,3.9,49.7619047619048,43.9
GDAX,"Coinbase, the first licensed U.S. bitcoin exchange and one of the most popular, was founded in 2012 and has helped to bring digital currencies to investors both in the U.S. and abroad. Faced with massive growth in its user base and trading volume in 2015, Coinbase decided to expand its bitcoin offerings to include other digital currencies like ethereum. The company set up separate exchanges catered to individual or ""casual"" investors and highly active traders. The latter of these was eventually rebranded as GDAX, standing for Global Digital Asset Exchange.",investopedia,1,48.64,12.1,13.8,12.6,14.6,11.59,27,14.75,13.0,12th and 13th grade,87.9,83.96,37.86,3.6,49.7777777777778,43.61
Under Reporting,Under reporting is a term describing the crime of intentionally reporting less income or revenue than was actually received. Companies and individuals chiefly under report their incomings in an effort to avoid or reduce their respective tax liabilities.,investopedia,1,26.81,14.2,0.0,15.37,14.8,11.23,13,14.5,17.07,14th and 15th grade,73.5,68.15,33.92,4.9,47.9473684210526,35.78
Harmonized Sales Tax (HST),"Canada's harmonized sales tax (HST) is a consumption tax paid by local consumers and businesses. As the name implies, it ""harmonizes"" (combines) the nation's federal goods and services tax and various provincial sales taxes. Five Canadian provinces use the HST.",investopedia,1,57.98,8.5,12.5,12.46,11.5,11.8,16,8.33333333333333,13.32,11th and 12th grade,97.3,93.82,39.37,2.9,55.75,47.61
Wrap-Around Loan,A wrap-around loan is a type of mortgage loan that can be used in owner-financing deals. This type of loan involves the seller’s mortgage on the home and adds an additional incremental value to arrive at the total purchase price that must be paid to the seller over time.,investopedia,1,63.53,10.5,0.0,8.94,12.3,8.72,9,13.75,12.25,8th and 9th grade,97.9,94.61,43.27,2.7,55.734693877551,62.42
BONUS SHARE,See STOCK DIVIDEND.,palgrave,0,59.97,5.6,0.0,5.35,6.8,9.05,1,1.5,14.53,5th and 6th grade,101.8,100.0,42.42,-2.2,132.333333333333,76.84
Qualified Appraisal,A qualified appraisal is an appraisal that meets the requirements set forth by the Internal Revenue Service (IRS) and is conducted by a qualified appraiser. Qualified appraisals are made no earlier than 60 days before a piece of property is donated.﻿﻿﻿,investopedia,1,50.67,11.3,0.0,12.13,13.2,10.43,11,15.25,16.0,15th and 16th grade,89.9,84.53,38.82,3.6,51.9268292682927,47.87
ASIAN DEVELOPMENT BANK,"A MULTILATERAL DEVELOPMENT BANK created in 1966 by Asian nations to support economic and social progress and to supply long-term development finance to member countries, mod- eled after the INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT.",palgrave,0,10.57,20.5,0.0,17.47,24.3,13.04,12,25.5,20.86,20th and 21st grade,57.1,52.58,25.86,5.4,37.5714285714286,11.2
Net Present Value Rule,The net present value rule is the idea that company managers and investors should only invest in projects or engage in transactions that have a positive net present value (NPV). They should avoid investing in projects that have a negative net present value. It is a logical outgrowth of net present value theory.,investopedia,1,53.04,12.4,0.0,11.38,15.3,9.12,11,11.1666666666667,15.13,11th and 12th grade,89.8,89.82,38.52,2.9,50.5094339622642,48.43
CONTINGENT LIABILITY,"(1) The LIABILITY of an institution that assumes the role of a GUARANTOR or endorser under a LETTER OF CREDIT,GUARANTEE, or SURETY BOND. (2) ACCOUNTING and RISK classification of an undrawn REVOLVING CREDIT FACILITY granted by a BANK to a borrower.(1) See also CONTINGENT CREDIT RISK.",palgrave,0,7.87,23.6,0.0,12.38,26.1,13.13,16,34.0,27.97,12th and 13th grade,51.9,45.72,31.02,5.2,43.5652173913043,22.68
PREMIUM TAX,A TAX payable by an INSURER to a state or jurisdiction based on the amount of PREMIUMS earned from INSURANCE activities. Premium taxes are generally included in EXPENSE LOADING.,palgrave,0,39.84,11.3,0.0,11.53,10.0,11.98,11,11.25,16.83,11th and 12th grade,84.1,82.77,40.96,3.8,58.3103448275862,54.33
ORIGINAL ISSUE DISCOUNT (OID),The size of the price DISCOUNT to PAR VALUE at the time of a BOND’s issuance. Accretion of the price from OID to par value is treated as INTEREST income for TAX purposes.,palgrave,0,71.65,7.4,0.0,6.32,6.5,8.76,6,8.75,10.24,6th and 7th grade,106.0,105.38,49.45,2.0,65.3636363636364,79.99
Bills of Materials (BOM),"A bill of materials (BOM) is an extensive list of raw materials, components, and instructions required to construct, manufacture, or repair a product or service. A bill of materials usually appears in a hierarchical format, with the highest level displaying the finished product and the bottom level showing individual components and materials.",investopedia,1,19.71,17.0,0.0,14.8,18.2,10.39,17,19.5,17.32,16th and 17th grade,66.3,61.03,32.94,5.2,44.0,30.71
Numerical Procedure,A method of valuing an option when no formula is available.,opod,0,68.77,6.4,0.0,6.82,5.0,11.36,4,5.5,8.04,5th and 6th grade,105.6,105.22,49.02,1.9,71.7272727272727,77.51
Futures Option,An option on a futures contract.,opod,0,73.85,4.5,0.0,4.28,2.8,11.83,3,2.0,2.4,4th and 5th grade,110.7,107.39,51.07,0.5,94.0,85.89
Stable Value Fund,A stable value fund is a portfolio of bonds that are insured to protect the investor against a decline in yield or a loss of capital. The owner of a stable value fund will continue to receive the agreed-upon interest payments regardless of the state of the economy.,investopedia,1,55.58,11.5,0.0,9.0,12.0,9.1,9,15.0,13.77,11th and 12th grade,92.4,90.68,43.35,3.0,56.0833333333333,60.56
annual percentage rate APR,Interest rate is annualized using simple rather than compound interest.,zvi,0,27.49,11.9,0.0,16.62,12.8,10.45,4,7.0,12.0,11th and 12th grade,76.6,72.24,32.53,4.3,57.0,33.46
Government debt,The total of gov-ernment obligations in the form of bonds and shorter-term borrow-ings.,sam,1,49.82,9.5,0.0,13.5,12.2,12.78,5,10.5,8.28,10th and 11th grade,91.6,88.4,37.67,3.3,54.3846153846154,46.23
GARCH Process,"The generalized autoregressive conditional heteroskedasticity (GARCH) process is an econometric term developed in 1982 by Robert F. Engle, an economist and 2003 winner of the Nobel Memorial Prize for Economics. GARCH describes an approach to estimate volatility in financial markets.",investopedia,1,32.6,12.0,14.6,16.34,14.0,13.38,17,10.6666666666667,17.32,11th and 12th grade,79.3,76.69,32.82,4.2,50.5,32.5
ANTITRUST,Policies and REGULATIONS that restrict the formation of OLIGOPOLY or MONOPOLY power in order to promote free market competition.,palgrave,0,26.81,14.2,0.0,16.01,15.3,11.23,8,14.5,18.13,14th and 15th grade,73.5,66.51,32.9,5.1,46.8947368421053,33.87
Real Property,"Real property is the land, everything that is permanently attached to the land, and all of the rights of ownership, including the right to possess, sell, lease, and enjoy the land. Real property can be classified according to its general use as residential, commercial, agricultural, industrial, or special purpose. In order to understand if you have the right to sell your home, you need to know which rights you possess—or don't possess—in the property.",investopedia,1,46.4,12.9,15.9,11.78,15.2,8.28,14,17.3333333333333,15.29,15th and 16th grade,85.7,82.83,38.46,3.6,49.5405405405405,48.64
Stockholders' Equity,"Stockholders' equity, also referred to as shareholders' or owners' equity, is the remaining amount of assets available to shareholders after all liabilities have been paid. It is calculated either as a firm's total assets less its total liabilities or alternatively as the sum of share capital and retained earnings less treasury shares. Stockholders' equity might include common stock, paid-in capital, retained earnings, and treasury stock.",investopedia,1,32.53,14.1,15.5,15.32,16.9,9.57,18,15.5,13.6,15th and 16th grade,76.7,73.03,33.15,4.5,44.5384615384615,30.37
TWO-TIER BID,"A TAKEOVER BID that features a more attractive price for INVESTORS willing to tender their SHARES by the first cutoff date; those choosing not to tender by a certain date are offered a less favorable deal. See also ANY-AND-ALL BID, FAIR PRICE PROVISION.",palgrave,0,66.57,9.3,0.0,10.39,12.4,8.74,9,12.25,11.39,8th and 9th grade,100.9,98.4,41.43,2.5,53.8837209302326,54.69
Vested Benefit,"A vested benefit is a financial package granted to employees who have met the term of service required to receive a full, instead of partial, benefit. As an incentive to stay with a company, employers sometimes offer their employees benefits whereby they acquire the full amount gradually or suddenly, as they accumulate more time with the company.",investopedia,1,5.16,26.7,0.0,12.84,31.3,10.62,15,20.75,29.12,12th and 13th grade,46.7,44.91,26.41,4.5,42.859649122807,11.85
CAPPED MORTGAGE,See ADJUSTABLE RATE MORTGAGE.,palgrave,0,75.88,3.7,0.0,13.05,11.2,11.73,2,1.0,1.6,11th and 12th grade,112.8,109.39,33.18,-1.3,99.0,45.6
With Discretion,"With discretion is a term that refers to an order type executed by a floor broker or trader according to their best judgment. A with discretion order allows for greater customization and flexibility to try and achieve the best price for the trade. Brokers may also refer to a with discretion order as a ""not-held order,"" which gives price and time discretion.",investopedia,1,56.93,13.0,0.0,10.8,16.9,9.25,11,13.0,15.63,12th and 13th grade,91.2,86.4,38.35,3.0,50.1290322580645,48.81
DIRECT DEBIT,A standing order granted by a PAYOR to a PAYEE to directly withdraw a fixed or variable sum of money from a BANK ACCOUNT.,palgrave,0,55.58,11.5,0.0,6.45,9.8,10.09,7,13.0,11.27,9th and 10th grade,92.4,91.98,47.6,2.9,60.6666666666667,74.67
Nominal Gross Domestic Product,"Nominal gross domestic product is gross domestic product (GDP) evaluated at current market prices. GDP is the monetary value of all the goods and services produced in a country. Nominal differs from real GDP in that it includes changes in prices due to inflation, which reflects the rate of price increases in an economy.",investopedia,1,44.07,13.8,0.0,11.49,15.7,10.24,14,12.0,15.99,15th and 16th grade,83.3,82.92,38.15,3.5,49.9259259259259,46.21
A-B Trust,"An A-B trust is a joint trust created by a married couple for the purpose of minimizing estate taxes. Upon the death of the first spouse, an A-B trust divides into two. It is formed with each spouse placing assets in the trust and naming as the final beneficiary any suitable person except the other spouse.",investopedia,1,69.41,8.2,8.8,8.18,9.1,9.36,13,10.3333333333333,9.62,8th and 9th grade,103.8,98.06,46.06,2.6,60.0714285714286,67.85
SUNK COST,An EXPENSE of a company that can never be recovered once incurred. It can be considered as an avoidable FIXED COST that must be ana- lyzed in the context of OPPORTUNITY COST.,palgrave,0,63.7,8.4,0.0,7.83,7.6,9.36,7,9.0,10.15,7th and 8th grade,100.5,99.33,47.16,2.5,63.0625,73.47
ACQUISITION COST,"The cost associated with marketing and writing new INSURANCE business, generally comprised of AGENT COMMISSIONS, UNDERWRITING expenses, fees, and marketing support costs. A portion of these costs may be charged back to INSUREDS through EXPENSE LOADING.",palgrave,0,36.28,12.7,0.0,16.41,16.0,11.99,13,13.0,14.98,12th and 13th grade,80.5,78.08,32.05,4.2,45.3888888888889,30.05
EX-RIGHTS (XR),The purchase of a SHARE of STOCK for which the INVES- TOR is not entitled to any associated RIGHTS.,palgrave,0,69.11,8.3,0.0,6.85,8.1,9.57,3,11.5,11.81,11th and 12th grade,103.5,102.58,48.22,2.2,62.1578947368421,77.15
CROSSED TRADE,"A practice where ORDERS to buy and sell listed SECUR- ITIES are matched without being channeled through an EXCHANGE; once crossed, the details may be reported to the exchange. Crossed trades are not permitted in certain market jurisdictions as they are thought to reduce trans- parency and leave open the possibility for unfair pricing practices.",palgrave,0,52.02,12.8,0.0,13.18,17.3,10.46,14,15.75,13.91,12th and 13th grade,88.8,85.32,35.14,3.2,46.8181818181818,35.71
Visible trade,"Physical EXPORTS and IMPORTS, such as coal, computer chips and cars. Also known as merchandise trade. Contrast with INVISIBLE TRADE. (See BALANCE OF PAYMENTS.)",economist,1,63.36,6.4,9.7,11.27,9.3,11.27,9,4.33333333333333,9.87,9th and 10th grade,102.7,97.6,40.67,2.0,69.8333333333333,54.64
Stock Quote,"A stock quote is the price of a stock as quoted on an exchange. A basic quote for a specific stock provides information, such as its bid and ask price, last traded price, and volume traded. Investors increasingly access stock quotes online or on mobile devices, such as smartphones, rather than through print media, such as newspapers and magazines. A large number of Internet portals and websites offer delayed stock quotes at no charge, with real-time stock quotes generally restricted to paying subscribers.",investopedia,1,58.82,10.2,11.7,11.78,13.2,9.8,25,12.625,12.18,11th and 12th grade,95.6,92.26,39.32,3.0,51.8915662650602,49.21
Weighted Average Remaining Term (WART),"Weighted Average Remaining Term (WART) is a metric that captures the average time to maturity of a portfolio of asset-backed securities (ABS). Also known as the weighted average maturity, WART is often used in relation to mortgage-backed securities (MBS).",investopedia,1,26.3,14.4,0.0,13.34,14.5,10.68,11,15.75,13.95,13th and 14th grade,73.0,70.72,37.14,4.7,48.7435897435898,39.63
Short Put,"A short put refers to when a trader opens an options trade by selling or writing a put option. The trader who buys the put option is long that option, and the trader who wrote that option is short.",investopedia,1,85.52,6.2,0.0,6.21,7.8,7.44,4,8.75,7.8,7th and 8th grade,115.0,112.26,49.08,1.4,63.1025641025641,78.69
Mezzanine Financing,"Mezzanine financing is a hybrid of debt and equity financing that gives the lender the right to convert to an equity interest in the company in case of default, generally, after venture capital companies and other senior lenders are paid.",investopedia,1,22.42,20.1,0.0,11.73,22.0,11.54,11,30.0,22.0,11th and 12th grade,64.1,60.93,33.67,4.4,46.75,32.64
MINORITY INTEREST,"An ownership stake of less than 50% in a com- pany, which leaves SHAREHOLDERS with no effective control of manage- ment. A minority interest arises when a CONTROLLING INTEREST is held by another party. Also known as MINORITY OWNERSHIP. See also MINORITY CONTROL.",palgrave,0,43.59,9.9,12.6,10.13,8.1,9.68,10,7.125,9.9,9th and 10th grade,87.8,85.97,43.61,3.3,65.7441860465116,61.1
LOSS GIVEN DEFAULT,"A value or percentage estimate of the amount, net of RECOVERY, which a BANK expects to lose if a COUNTERPARTY DEFAULTS (i.e., –1 RECOVERY RATE). Loss given default is an essential input into internaland regulatory CREDIT DEFAULT MODELS as it provides a financial estimate of the net amount that may ultimately be lost should a counterparty fail.",palgrave,0,34.09,15.6,0.0,11.49,16.7,10.04,16,20.25,17.72,15th and 16th grade,75.8,71.22,37.58,4.3,48.8245614035088,43.75
Unlisted Security,"An unlisted security is a financial instrument that is not traded on a formal exchange because it does not meet listing requirements. Trading of unlisted securities is done on the over-the-counter (OTC) market and they are often called OTC securities. Market makers, or dealers, facilitate the buying and selling of unlisted securities on the OTC market.",investopedia,1,35.57,12.9,14.6,12.76,13.1,9.36,15,13.3333333333333,12.48,12th and 13th grade,79.8,78.03,38.43,4.2,51.6785714285714,44.53
CAPITAL ALLOWANCE,"In the United Kingdom, an allowance granted to a party that has made CAPITAL INVESTMENTS in property, plant, or equipment used in the productive process.",palgrave,0,46.1,13.0,0.0,12.02,15.4,9.3,6,16.5,14.8,12th and 13th grade,85.4,84.65,37.95,3.4,49.4,46.77
GAMING CONTRACT,An agreement to enter into a game of chance for money. In certain jurisdictions DERIVATIVES may be defined as gaming con- tracts. Also known as WAGERING CONTRACT.,palgrave,0,62.34,6.8,8.8,9.31,6.8,9.35,7,4.5,8.04,8th and 9th grade,101.7,96.31,44.63,2.3,71.962962962963,65.38
NEGOTIATED SWAP,"A CORPORATE FINANCE transaction involving an exchange of ASSETS (e.g., a SUBSIDIARY, company, or block of SHARES) between two parties. Use of a negotiated swap is an efficient way for a firm to substitute assets that it no longer requires for others that may represent a better strategic fit.",palgrave,0,46.61,12.8,0.0,10.86,14.3,11.3,14,16.25,15.51,10th and 11th grade,85.9,83.16,40.1,3.6,51.4489795918367,49.59
Federal Reserve Act,The 1913 act of Congress establishing the Federal Reserve System.,6_8_louis,1,44.41,9.6,0.0,13.14,9.9,13.61,5,6.0,12.0,9th and 10th grade,88.6,84.7,38.35,3.4,63.0,50.39
Joint Return,"A joint return is a tax return filed with the Internal Revenue Service (IRS) on the new, simplified Form 1040 (as of 2018) by two married taxpayers whose filing status is married filing jointly (MFJ) or by a widowed taxpayer whose filing status is Qualifying Widow or Widower (QW). A joint return allows these taxpayers to combine their tax liability and report their income, deductions, and credits on the same joint return.﻿﻿",investopedia,1,34.94,17.3,0.0,11.04,19.9,10.69,17,22.5,18.84,10th and 11th grade,74.1,72.19,36.26,3.8,47.75,37.3
Perpetuity,"A perpetuity is a security that pays for an infinite amount of time. In finance, perpetuity is a constant stream of identical cash flows with no end. The formula to calculate the present value of a perpetuity, or security with perpetual cash flows, is as follows:",investopedia,1,47.49,10.4,13.6,8.87,8.6,8.51,10,11.0,12.21,8th and 9th grade,89.2,88.57,45.13,3.4,61.1739130434783,65.9
Risk-free rate,"The RATE OF RETURN earned on a risk-free ASSET. This is a crucial component of MODERN PORTFOLIO theory, which assumes the existence of both risky and risk-free assets. The risk-free asset is usually assumed to be a GOVERNMENT BOND, and the risk-free rate is the YIELD on that bond, although in fact even a Treasury is not entirely without risk. In modern portfolio theory, the risk-free rate is lower than the EXPECTED RETURN on the risky asset, because the issuer of the risky asset has to offer RISK AVERSE investors the expectation of a higher return to persuade them to forgo the risk-free asset.",economist,1,53.55,12.3,12.6,9.87,14.1,9.18,22,15.25,13.48,12th and 13th grade,90.3,86.19,41.14,3.2,52.75,53.03
ELIGIBLE PAPER,"Short-term financial instruments (such as GOVERNMENT BILLS, CERTIFICATES OF DEPOSIT, BANKER’S ACCEPTANCES, or BANK-en- dorsed corporate obligations) that can be used for collateralized borrowing in the REPURCHASE AGREEMENT market or through CENTRAL BANK mecha- nisms, such as the DISCOUNT WINDOW.",palgrave,0,22.42,20.1,0.0,18.98,28.9,12.73,12,30.0,25.0,12th and 13th grade,64.1,59.37,21.55,4.5,32.25,-3.65
Shout Option,An option where the holder has the right to lock in a minimum value for the payoff at one time during its life.,opod,0,73.51,8.7,0.0,5.23,8.3,6.84,3,12.5,10.94,8th and 9th grade,105.4,102.57,50.04,2.1,63.3478260869565,81.77
Guaranty Fund,Fund to which members of an exchange or CCP contribute. It may be used to cover losses in the event of a default.,opod,0,85.18,4.2,0.0,3.98,3.0,9.01,4,5.25,6.34,3rd and 4th grade,117.1,114.07,53.64,1.2,75.5217391304348,92.39
Debt Restructuring,"Debt restructuring is a process used by companies, individuals, and even countries to avoid the risk of defaulting on their existing debts, such as by negotiating lower interest rates. Debt restructuring provides a less expensive alternative to bankruptcy when a debtor is in financial turmoil, and it can work to the benefit of both borrower and lender.",investopedia,1,34.09,15.6,0.0,12.71,17.5,11.98,17,21.25,20.52,11th and 12th grade,75.8,73.41,35.53,4.1,47.2456140350877,40.35
Usufruct,A usufruct is a legal right accorded to a person or party that confers the temporary right to use and derive income or benefit from someone else's property. It is a limited real right that can be found in many mixed and civil law jurisdictions. A usufructuary is the person holding the property by usufruct.,investopedia,1,61.36,9.2,12.5,8.99,9.4,8.85,12,11.8333333333333,12.41,8th and 9th grade,98.2,94.49,44.87,2.9,59.3636363636364,65.67
DISPOSABLE INCOME,"The amount of discretionary income left for SAVINGS, INVESTMENT, or consumption once mandatory EXPENSES and TAXES have been paid. Disposable income can be measured at both the household level and the national level.",palgrave,0,46.27,10.9,0.0,13.86,13.0,9.24,10,11.75,15.08,10th and 11th grade,88.0,86.5,36.81,3.5,51.7272727272727,44.82
Jesse L. Livermore,"Jesse L. Livermore was a stock trader, who rose from a humble farming background to become a stock trader in Boston. Over the course of his career, he won and lost fortunes in many arenas. A self-made man with no formal education or trading background, Livermore focused on making money from the overall market directions and not concentrating on individual stocks. His strategies were based on a combination of price patterns and volume analysis. Livermore is most well-known for shorting the stock market right at the beginning of the Great Depression in 1929.",investopedia,1,52.6,10.5,11.6,11.37,11.7,8.97,21,11.5,10.88,11th and 12th grade,91.9,91.1,40.82,3.1,54.5913978494624,52.95
Turnkey Business,"A turnkey business is a business that is ready to use, existing in a condition that allows for immediate operation.",investopedia,1,42.72,12.3,0.0,9.98,11.2,9.37,5,14.0,16.0,9th and 10th grade,84.4,84.04,42.61,3.7,56.0,59.59
Valuation Premium,"A valuation premium is a life insurance calculation that determines the charges for premiums based on the company's liabilities. Insurance companies charge monthly premiums or fees to their policyholders, and in exchange, provide financial coverage for an event, such as death. The premiums that are collected from their customers—called reserves—are usually held in short-term term investments.",investopedia,1,27.11,14.1,17.5,17.11,16.5,11.33,19,15.6666666666667,18.19,17th and 18th grade,73.8,70.24,31.16,4.8,44.3571428571429,27.26
dual mandate,"A central bank mandate in which there are two equal objectives, price stability and maximum employment.",fmi,0,46.78,10.7,0.0,13.63,12.5,10.35,6,12.0,16.4,10th and 11th grade,88.5,85.7,37.46,3.6,52.75,48.53
Reversion Level,"The level to which the value of a market variable (e.g., an interest rate) tends to revert. ",opod,0,62.68,8.7,0.0,5.97,7.8,10.05,3,8.5,9.15,8th and 9th grade,99.5,98.22,49.88,2.6,62.5294117647059,79.7
ACTUARIAL EQUIVALENT,"In INSURANCE, a statistical measure based on the expectation that a loss will occur, and the benefits that will become payable as a result. By computing this measure, the INSURER can vary the PREMIUM it charges INSUREDS. See also ACTUARIAL PRICING.",palgrave,0,49.11,9.8,12.5,10.72,9.3,10.48,12,8.5,13.28,9th and 10th grade,90.9,88.32,42.63,3.3,60.219512195122,59.53
Producer surplus,"The difference between what a supplier is paid for a good or service and what it cost to SUPPLY. Added to CONSUMER SURPLUS, it provides a measure of the total economic benefit of a sale.",economist,1,62.17,8.9,0.0,7.13,7.8,8.56,8,10.75,10.43,8th and 9th grade,99.0,98.56,47.78,2.6,62.7142857142857,73.87
Earnings,A company's earnings are its after-tax net income. This is the company's bottom line or its profits.,investopedia,1,62.85,6.6,0.0,7.62,6.1,6.84,3,4.75,5.75,6th and 7th grade,102.2,99.39,47.15,2.0,74.8823529411765,68.41
ASSET SWAP SPREAD,"The floating COUPON paid above a FLOATING RATE BENCHMARK in an ASSET SWAP, representing the CREDIT RISK of a risky BOND above the INTERBANK MARKET rate. See also BOND SWAP SPREAD, SWAP SPREAD.",palgrave,0,71.65,7.4,0.0,9.86,9.7,9.72,6,8.25,9.02,9th and 10th grade,106.0,105.38,43.57,2.0,58.6969696969697,63.87
