terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,linsear_write_formula,gunning_fog
original issue discount bond,A bond issued with a low coupon rate that sells at a discount from par value.,zvi,0,89.08,4.8,0.0,4.52,4.8,10.35,7.0,6.4
replicating portfolio,package of assets whose returns exactly replicate those of an option.,prin,0,60.31,7.6,0.0,12.1,9.3,11.36,5.5,8.04
Developing country,"A country with a per capita income far below that of “developed” nations @the latter usu-ally includes most nations of North America and Western Europe@. Same as  less developed country.      Differentiated products.    Products which compete with each other and are close substitutes but are not identical. Differences may be manifest in the product’s func-tion, appearance, location, quality, or other attributes.     Diminishing marginal utility, law of.    The law which says that as more and more of any one com-modity is consumed, its marginal utility declines.     ",sam,1,9.22,18.9,17.5,14.1,18.8,10.85,10.1666666666667,17.87
REFERENCE RATE,"An INTEREST RATE that is used as the pricing indicator in a financing or DERIVATIVE transaction. In most cases the reference rate is a well-established and transparent BENCHMARK, such as LIBOR, EURIBOR, EONIA, PRIME RATE, and so forth.",palgrave,0,52.19,10.7,0.0,11.72,12.6,10.81,13.5,17.07
Forensic Accounting,"Forensic accounting utilizes accounting, auditing, and investigative skills to conduct an examination into the finances of an individual or business. Forensic accounting provides an accounting analysis suitable to be used in legal proceedings. Forensic accountants are trained to look beyond the numbers and deal with the business reality of a situation. Forensic accounting is frequently used in fraud and embezzlement cases to explain the nature of a financial crime in court.",investopedia,1,36.49,12.6,14.9,15.25,14.5,10.75,13.125,14.44
Due from Account,A due from account is an asset account in the general ledger used to track money owed to a company that is currently being held at another firm. It is typically used in conjunction with a due to account and is sometimes referred to as intercompany receivables.,investopedia,1,47.62,12.5,0.0,9.17,11.8,8.16,15.75,13.66
Income Stock,"An income stock is an equity security that pays regular, often steadily increasing dividends. Income stocks usually offer a high yield that may generate the majority of the security's overall returns. While there is no specific breakpoint for classification, most income stocks have lower levels of volatility than the overall stock market, and offer higher-than-market dividend yields.",investopedia,1,35.27,13.1,15.5,15.37,15.3,11.23,14.1666666666667,16.72
FORCE MAJEURE,"Literally “irresistible force”; in the corporate sector it is a financial event of such gravity (e.g., systemic dislocation, severe CREDIT RATING downgrade, BANKRUPTCY) that a relationship/transaction (such as a LOAN, NEW ISSUE, or CORPORATE FINANCE deal) may be cancelled or accelerated. See also MATERIAL ADVERSE CHANGE CLAUSE, VIS MAJOR.",palgrave,0,21.23,16.4,0.0,15.67,18.9,13.55,17.75,18.78
minimum-variance frontier,Graph of the lowest possible portfolio standard deviation corresponding to each value of portfolio expected return.,zvi,0,12.94,15.4,0.0,18.33,16.0,11.34,14.0,16.4
Gross primary deficit,The fiscal deficit minus interest payments.,ncert,1,48.47,8.0,0.0,14.95,11.4,17.09,3.0,9.07
Automatic transfer,An online payment that is automatically deducted from the account balance on a recurring basis.,6_8_louis,1,30.87,12.7,0.0,13.04,11.5,10.7,10.5,14.0
Adjusted Gross Income (AGI),Adjusted gross income (AGI) is your annual gross income minus certain adjustments that the Internal Revenue Service uses to determine your income tax liability for the year.﻿﻿﻿,investopedia,1,27.15,16.2,0.0,14.57,18.3,11.41,19.5,19.69
Family labour/worker,Family labour/worker,ncert_keec111,1,-49.0,20.6,0.0,21.6,24.3,11.63,2.0,0.8
ipo,initial public offering.,prin,0,9.21,12.7,0.0,15.03,14.6,14.31,1.5,14.53
Long/Short Fund,"A long/short fund is a type of mutual fund or hedge fund that takes both long and short positions in investments typically from a specific market segment. These funds often use several alternative investing techniques such as leverage, derivatives, and short positions to purchases relatively undervalued securities and sell overvalued ones.",investopedia,1,28.67,15.6,0.0,15.55,18.2,11.71,20.25,20.4
Gapping,"Gapping occurs when the price of a stock, or another asset, opens above or below the previous day’s close with no trading activity in between. A gap is the area discontinuity in a security's price chart. Gaps may materialize when headlines cause market fundamentals to change rapidly during hours when markets are typically closed; for instance, the result of an earnings call after-hours.",investopedia,1,39.5,15.6,0.0,12.66,18.9,10.96,13.5,17.04
Beta,A measure of the systematic risk of an asset.,opod,0,62.34,6.8,0.0,4.14,2.4,9.35,4.5,8.04
GOLDEN HANDCUFFS,"A compensation package intended to induce an executive to remain at a company; if the executive departs, some or all of the benefits conveyed through the golden handcuffs may have to be returned. See also GOLDEN HANDSHAKE, GOLDEN HELLO, GOLDEN PARACHUTE.",palgrave,0,42.21,12.5,0.0,12.13,13.4,8.89,13.25,12.1
Positive Economics,"The term positive economics refers to the objective analysis in the study of economics. Most economists look at what has happened and what is currently happening in a given economy to form their basis of predictions for the future. This investigative process is positive economics. Conversely, a normative economic study bases future predictions on value judgments.",investopedia,1,48.81,9.9,14.9,13.8,11.7,9.97,11.25,14.89
Too Big to Fail,"Too big to fail describes a business or business sector deemed to be so deeply ingrained in a financial system or economy that its failure would be disastrous to the economy. Therefore, the government will consider bailing out the business or even an entire sector—such as Wall Street banks or U.S. carmakers—to prevent economic disaster.",investopedia,1,43.56,14.0,0.0,12.65,16.8,11.03,18.75,16.09
Irrational Exuberance,"Irrational exuberance refers to investor enthusiasm that drives asset prices higher than those assets' fundamentals justify. The term was popularized by former Fed chair Alan Greenspan in a 1996 speech, ""The Challenge of Central Banking in a Democratic Society."" The speech was given near the beginning of the 1990s dot-com bubble, a textbook example of irrational exuberance:",investopedia,1,43.73,11.9,14.6,14.39,14.5,11.78,13.5,13.92
Life Expectancy at Birth (years),Life Expectancy at Birth (years),ncert_keec111,1,83.32,2.9,0.0,8.44,7.4,10.2,2.5,10.0
program trading,"Coordinated buy orders and sell orders of entire portfolios, usually with the aid of computers, often to achieve index arbitrage objectives.",zvi,0,24.78,15.0,0.0,15.03,16.0,12.2,16.5,19.83
Goodwill Impairment,"Goodwill impairment is an accounting charge that companies record when goodwill's carrying value on financial statements exceeds its fair value. In accounting, goodwill is recorded after a company acquires assets and liabilities, and pays a price in excess of their identifiable net value.",investopedia,1,32.73,14.0,0.0,15.37,16.4,10.58,15.25,15.11
portfolio management,"Process of combining securities in a portfolio tailored to the investor™s preferences and needs, monitoring that portfolio, and evaluating its performance.",zvi,0,16.32,16.2,0.0,19.2,19.4,13.7,18.5,21.73
Isoquant Curve,"An isoquant curve is a concave-shaped line on a graph, used in the study of microeconomics, that charts all the factors, or inputs, that produce a specified level of output. This graph is used as a metric for the influence that the inputs—most commonly, capital and labor—have on the obtainable level of output or production.",investopedia,1,52.02,12.8,0.0,10.74,15.5,9.88,18.25,15.36
Rule 144,"Rule 144 is a regulation enforced by the U.S. Securities and Exchange Commission (SEC) that sets the conditions under which restricted, unregistered, and control securities can be sold or resold. Rule 144 provides an exemption from registration requirements to sell the securities through public markets if a number of specific conditions are met. The regulation applies to all types of sellers, in addition to issuers of securities, underwriters, and dealers.",investopedia,1,36.79,12.5,14.9,13.8,13.6,10.59,13.0,13.86
JUNIOR SUBORDINATED DEBT,"The lowest ranking form of JUNIOR DEBT. Junior subordinated claims receive payment after junior INVESTORS or CREDITORS, but before EQUITY investors.",palgrave,0,35.44,10.9,0.0,15.75,12.6,10.17,5.75,9.91
GROUP OF 3 (G3),"A grouping of the three large industrial economies, includ- ing the United States, Germany, and Japan.",palgrave,0,72.16,7.2,0.0,12.18,12.2,11.34,8.0,8.9
NEAR MONEY,"ASSETS that are nearly equivalent to cash, meaning they can be liquidated immediately at carrying value, but which still generate a small YIELD or RETURN. Common examples of near money include short-term GOVERNMENT BILLS, COMMERCIAL PAPER, BANKER’S ACCEPTANCES, and sight DEPOSITS. See also L, M0, M1, M2, M3.",palgrave,0,46.78,10.7,13.0,12.53,12.3,11.34,11.0,13.07
REGISTRAR,"A party that is appointed to maintain the registry of SHAREHOLDERS of a given company. BANKS and TRUST companies often ful- fill the role of registrar.EXEMPT SECURITY, PROSPECTUS, RED HERRING.",palgrave,0,47.79,10.3,0.0,12.46,11.6,11.22,10.5,12.67
Net exports,"In the national product accounts, the value of exports of goods and services minus the value of imports of goods and services.     ",sam,1,40.69,13.1,0.0,9.86,12.0,9.75,12.0,10.62
Innovation,"A term particularly asso-ciated with Joseph Schumpeter, who meant by it @1@ the bringing  -cantly different product, @2@ the introduction of a new production technique, or @3@ the opening up of a new market. @Contrast with  invention. @     ",sam,1,8.54,21.3,0.0,11.85,22.1,12.73,25.0,19.12
Operating Revenue,Operating revenue is the revenue that a company generates from its primary business activities.,investopedia,1,14.97,14.7,0.0,15.71,13.2,9.97,12.0,17.03
Cash-or-Nothing Call Option,An option that provides a fixed predetermined payoff if the final asset price is above the strike price and zero otherwise.,opod,0,58.62,10.3,0.0,10.91,12.1,11.45,12.5,10.3
Accounting Profit,"Accounting profit is a company's total earnings, calculated according to generally accepted accounting principles (GAAP). It includes the explicit costs of doing business, such as operating expenses, depreciation, interest, and taxes.",investopedia,1,4.98,16.4,0.0,19.08,17.6,14.59,14.25,21.68
Middle Market Firm,"The middle market is the segment of American businesses with annual revenues roughly in the range of $10 million to $1 billion, although some definitions set a higher top on the range. There are about 200,000 such firms, most of them privately owned or closely held, and their annual revenues combined total more than $10 trillion.",investopedia,1,51.52,13.0,0.0,10.68,15.8,10.95,17.0,14.06
Social overhead capital,"The essen-tial investments on which eco-nomic development depends, particularly for sanitation and drinking water, transportation, and communications; sometimes called  infrastructure.      ",sam,1,-50.35,25.3,0.0,28.25,27.2,15.68,19.0,22.0
Imperfect competition,"refers to any kind of market imperfection—pure  monopoly, oligopoly,  or  monopo-listic competition.      ",sam,1,-59.15,24.5,0.0,21.45,18.3,13.44,11.0,18.13
Costs,Things unfavorable to a decisionmaker.,6_8_louis,1,-1.29,14.7,0.0,16.56,13.1,13.36,3.5,18.0
elasticity of an option,Percentage change in the value of an option accompanying a 1% change in the value of a stock.,zvi,0,61.67,9.1,0.0,6.26,7.4,8.04,11.0,11.64
Anchoring and Adjustment,"Anchoring and adjustment is a phenomenon wherein an individual bases their initial ideas and responses on one point of information and makes changes driven by that starting point. The anchoring and adjustment heuristic describes cases in which a person uses a specific target number or value as a starting point, known as an anchor, and subsequently adjusts that information until an acceptable value is reached over time. Often, those adjustments are inadequate and remain too close to the original anchor, which is a problem when the anchor is very different from the true answer.",investopedia,1,31.25,16.7,16.3,13.07,18.7,9.89,21.0,17.63
SUPPORT BOND,See COMPANION BOND.,palgrave,0,59.97,5.6,0.0,5.35,6.8,14.31,1.5,14.53
Digital Marketing,"Digital marketing is the use of the Internet, mobile devices, social media, search engines, and other channels to reach consumers. Some marketing experts consider digital marketing to be an entirely new endeavor that requires a new way of approaching customers and new ways of understanding how customers behave compared to traditional marketing.",investopedia,1,28.17,15.8,0.0,15.26,18.3,11.3,19.5,17.32
Present bias,Choosing what makes one happy in the moment.,9_12_louis,1,80.28,4.1,0.0,6.45,4.4,7.98,3.0,3.2
TURKEY,"A bad INVESTMENT, or a promising deal that has soured.",palgrave,0,86.71,3.7,0.0,6.18,4.8,8.87,5.0,8.0
House Money Effect,"The house money effect is a theory used to explain the tendency of investors to take on greater risk when reinvesting profit earned through investing than they would when investing their savings or wages. People will often think about investment income as separate from money they earned in other ways, which distorts their mental accounting.",investopedia,1,52.02,12.8,0.0,13.06,17.0,9.59,17.75,15.36
CAPITULATION,"A condition where the STOCK MARKET has declined dramatically on high volume as INVESTORS liquidate position en masse, in a form of panic selling. A capitulation may signal a bottoming phase in the mar- ket, luring in BOTTOM FISHERS and other investors seeking value.",palgrave,0,40.69,13.1,0.0,11.43,13.4,11.9,14.0,14.25
"Recency, Frequency, Monetary Value (RFM)","Recency, frequency, monetary value is a marketing analysis tool used to identify a company's or an organization's best customers by using certain measures. The RFM model is based on three quantitative factors:",investopedia,1,29.86,13.1,0.0,13.8,12.9,12.33,12.5,17.65
SILENT PARTNERSHIP,"A form of PARTNERSHIP where one of the PARTNERS provides CAPITAL but does not participate in the management of the operation. Also known as SLEEPING PARTNERSHIP. See also ACTIVE PARTNERSHIP, GENERAL PARTNERSHIP, LIMITED PARTNERSHIP.",palgrave,0,34.63,11.2,14.1,14.65,11.8,8.38,8.33333333333333,10.4
Magic Formula Investing,"Magic formula investing refers to a rules-based, disciplined investing strategy that teaches people a relatively simple and easy-to-understand method for value investing. It relies on quantitative screens of companies and stocks, and is designed to beat the stock market's average annual returns using the S&P 500 to represent the market return. Put simply, it works by ranking stocks based on their price and returns on capital.",investopedia,1,40.69,13.1,15.5,13.75,15.6,11.43,15.6666666666667,14.86
Guerrilla Marketing,"Guerrilla marketing is a marketing tactic in which a company uses surprise and/or unconventional interactions in order to promote a product or service. Guerrilla marketing is different than traditional marketing in that it often relies on personal interaction, has a smaller budget, and focuses on smaller groups of promoters that are responsible for getting the word out in a particular location rather than through widespread media campaigns.",investopedia,1,12.09,19.9,0.0,15.62,21.9,10.72,25.75,20.56
Macroeconomic model,"Presenting the simplified version of the functioning of a macroeconomy through either analytical reasoning or mathematical, graphical representation.",ncert,1,-22.94,20.9,0.0,24.3,22.1,13.3,18.0,27.2
Deadweight Loss,"A deadweight loss is a cost to society created by market inefficiency, which occurs when supply and demand are out of equilibrium. Mainly used in economics, deadweight loss can be applied to any deficiency caused by an inefficient allocation of resources.",investopedia,1,33.75,13.6,0.0,12.59,13.5,10.82,14.25,16.0
INSURANCE BROKER,"A BROKER that specializes in providing clients with advice on, and access to, various types of INSURANCE products and insurance solutions from a large number of INSURERS, earning a COMMISSION that is often set as a percentage of any PREMIUM earned by the ultimate provider.CATASTROPHE BOND, EXTREME MORTALITY BOND, LIFE ACQUISITION COST SECURITIZATION, MORTALITY BOND, MORTGAGE DEFAULT SECURITIZATION, RESIDUAL VALUE SECURITIZATION, WEATHER BOND.",palgrave,0,-26.32,32.6,0.0,17.94,38.8,13.78,50.5,34.72
Outside Reversal,An outside reversal is a price pattern that indicates a potential change in trend on a price chart. The two-day pattern is observed when a security’s high and low prices for the day exceed the high and low of the previous day’s trading session. Outside reversal is also known as either a bullish engulfing (after a downward price move) or a bearish engulfing pattern (after an upward price move) when observed on candlestick charts.,investopedia,1,54.86,11.7,13.0,10.62,13.8,8.7,15.3333333333333,13.12
Over the Top (OTT),"Over the top (OTT) refers to film and television content provided via a high-speed Internet connection rather than a cable or satellite provider. Viewers who dislike paying for bundled content are often referred to as cord-cutters. OTT does not mean free, as the term encompasses services such as Netflix, Amazon Prime Video, Hulu, and HBO Now.",investopedia,1,60.95,9.4,11.2,11.49,12.2,11.33,11.3333333333333,11.05
times interest earned,Synonym for interest coverage ratio. Ratio of EBIT to interest expense.Tobin™s q Ratio of market value of the firm to replacement cost.,zvi,0,43.39,9.9,0.0,10.83,8.5,12.08,7.0,9.85
EXCLUSION RIDER,An ENDORSEMENT attached to an INSURANCE CONTRACT eliminating coverage for previously included PERILS. The details of the rider supersede those contained in the original contract.,palgrave,0,24.95,12.9,0.0,17.1,13.8,12.47,10.25,17.8
FCFF,See FREE CASH FLOW TO FIRM.,palgrave,0,116.15,-1.5,0.0,-0.54,-1.2,6.57,2.0,2.4
DUAL LISTED COMPANY ARBITRAGE,"An ARBITRAGE strategy that seeks to exploit discrepancies between the SHARE prices of the constituent compan- ies. An INVESTOR seeks to profit by purchasing the STOCK of the underval- ued company and arranging a SHORT SALE of the overvalued company, with an expectation that the two will converge to a theoretical PARITY value over time.",palgrave,0,35.1,15.2,0.0,12.31,16.6,10.74,19.75,18.27
correlation coefficient,A statistic in which the covariance is scaled to a value between fi1 @perfect negative correla-tion@ and +1 @perfect positive correlation@.Final PDF to printer˝ 4,zvi,0,29.18,15.4,0.0,13.41,17.1,14.35,17.5,16.4
LONDON BULLION MARKET,"The official marketplace for the wholesale TRADING of GOLD and silver and the establishment of prices, conducted by DEALERS (e.g., major international BANKS and bullion specialists) under the general auspices of the BANK OF ENGLAND. See also GOLD FIXING.",palgrave,0,43.22,12.1,0.0,13.63,14.4,11.49,13.25,13.95
Budget Surplus,"A budget surplus occurs when income exceeds expenditures. The term often refers to a government's financial state, as individuals have ""savings"" rather than a ""budget surplus."" A surplus is an indication that a government's finances are being effectively managed.",investopedia,1,41.36,10.7,11.9,13.79,12.2,9.54,7.83333333333333,11.35
High-Frequency Trading (HFT),"High-frequency trading, also known as HFT, is a method of trading that uses powerful computer programs to transact a large number of orders in fractions of a second. It uses complex algorithms to analyze multiple markets and execute orders based on market conditions. Typically, the traders with the fastest execution speeds are more profitable than traders with slower execution speeds.",investopedia,1,42.72,12.3,14.1,13.75,14.3,11.21,13.6666666666667,14.0
Customer to Customer (C2C),"Customer to customer (C2C) is a business model whereby customers can trade with each other, typically in an online environment. Two implementations of C2C markets are auctions and classified advertisements. C2C marketing has soared in popularity with the arrival of the Internet and companies such as eBay, Etsy, and Craigslist.",investopedia,1,37.64,14.2,0.0,14.8,17.6,11.51,11.3333333333333,17.2
ACCRUED INTEREST,"The INTEREST on a BOND or LOAN that has been earned but not yet paid. Interest payable/receivable accumulates between COUPON payment periods; once a periodic interest payment is made, accrued interest reverts to zero and begins building on a daily basis until the next payment. Accrued interest of a FIXED INCOME instrument can be computed via:2where C is the coupon, AD is the actual number of days that have elapsed since the last coupon, and n is number of days in the coupon period. See also CLEAN PRICE, DIRTY PRICE.",palgrave,0,57.1,10.9,13.4,10.16,12.4,9.31,14.5,13.0
Deficit Financing,Deficit Financing,ncert_keec111,1,35.61,8.8,0.0,15.8,17.3,19.53,1.0,20.8
MOST FAVORED NATION (MFN),"Favorable TRADE status granted to cer- tain nations, where IMPORTS from trading partner countries are treated no less favorably than imports from other countries, and no other foreign goods face a lower TARIFF than the partner country. Countries seek MFN status in order to bolster their trade activities and ultimately expand their own GROSS DOMESTIC PRODUCT.",palgrave,0,43.06,14.2,0.0,14.1,18.2,11.23,16.5,14.77
Labor supply,"The number of workers @or, more generally, the number of labor-hours@ available to an econ-omy. The principal determinants of labor supply are population, real wages, and social traditions.     Labor theory of value.    The view, often associated with Karl Marx, that every commodity should be valued solely according to the quantity of labor required for its production.     ",sam,1,9.22,18.9,0.0,13.58,18.6,12.07,9.0,19.06
Trade barrier,Any of a number of pro-tectionist devices by which nations discourage imports.,sam,1,42.38,10.3,0.0,13.27,10.9,12.13,7.0,11.47
Hazardous Activity,"Hazardous activity refers to a recreational pursuit that life or disability insurance policy considers high-risk. The activities are not typically covered by insurance as they carry an increased potential for injury or loss. Hazardous activities include scuba diving, BASE jumping, hang gliding, race car driving, flying a plane, horseback riding, bungee jumping, parasailing, and off-roading. Further, some employment falls into this category such as some construction work, logging, aircraft pilots, offshore oil rig worker, offshore fisherman, structural steelworkers, and underground mining.",investopedia,1,25.49,14.7,15.6,18.16,18.7,12.25,14.875,15.53
Sampling Errors,"A sampling error is a statistical error that occurs when an analyst does not select a sample that represents the entire population of data. As a result, the results found in the sample do not represent the results that would be obtained from the entire population.",investopedia,1,48.13,12.3,0.0,10.28,12.5,9.58,14.5,13.55
Triple Bottom Line (TBL),"Triple bottom line (TBL), in economics, believes that companies should commit to focusing as much on social and environmental concerns as they do on profits. TBL theory posits that instead of one bottom line, there should be three: profit, people, and the planet. A TBL seeks to gauge a corporation's level of commitment to corporate social responsibility and its impact on the environment over time.",investopedia,1,49.45,11.8,13.6,11.6,13.8,10.3,14.1666666666667,14.83
SSE,See SHANGHAI STOCK EXCHANGE.,palgrave,0,75.88,3.7,0.0,11.6,10.0,7.78,1.0,1.6
Texas Ratio,The Texas ratio was developed to warn of credit problems at particular banks or banks in particular regions. The Texas ratio takes the amount of a bank's non-performing assets and divides this number by the sum of the bank's tangible common equity and its loan loss reserves. A ratio of more than 100 (or 1:1) indicates that non-performing assets are greater than the resources the bank may need to cover potential losses on those assets.,investopedia,1,54.56,11.9,13.0,10.39,13.9,10.14,15.5,13.73
Tracker Fund,"A tracker fund is an index fund that tracks a broad market index or a segment thereof. Tracker funds are also known as index funds, designed to offer investors exposure to an entire index at a low cost. These funds seek to replicate the holdings and performance of a designated index, constructed as ETFs or alternative investments to meet the fund’s tracking objective.",investopedia,1,58.62,10.3,11.9,10.62,12.1,10.19,12.8333333333333,12.84
Terms of Trade (TOT),Terms of trade (TOT) represent the ratio between a country's export prices and its import prices. How many units of exports are required to purchase a single unit of imports? The ratio is calculated by dividing the price of the exports by the price of the imports and multiplying the result by 100.,investopedia,1,70.43,7.8,9.7,9.1,9.6,10.17,10.1666666666667,10.1
ESCROW ACCOUNT,"A TRUST account that is used to collect from a DEBTOR periodic payments related to a MORTGAGE, an INSURANCE policy, or other contractual CASH FLOWS.",palgrave,0,37.64,14.2,0.0,11.09,14.4,11.19,17.5,18.0
Delivered Duty Unpaid (DDU),"Delivered Duty Unpaid (DDU) is an old international trade term indicating that the seller is responsible for the safe delivery of goods to a named destination, paying all transportation expenses, and assuming all risks during transport.",investopedia,1,18.02,19.7,0.0,15.21,23.1,12.44,27.0,24.4
GENSAKI,"The broad Japanese MONEY MARKET, which includes trad- ing in short-term GOVERNMENT BILLS, CERTIFICATES OF DEPOSIT, NOTES, REPURCHASE AGREEMENTS, and REVERSE REPURCHASE AGREEMENTS.",palgrave,0,31.21,14.6,0.0,20.6,22.2,11.64,16.5,14.42
DERIVATIVE LAWSUIT,A legal action where one or more SHAREHOLDERS sue the CORPORATION to bring suit against the corporation’s BOARD OF DIRECTORS or executives for breach of duties. See also DIRECT LAWSUIT.CREDIT RATINGS that they cannot attract enough business without credit enhancement.,palgrave,0,42.72,12.3,0.0,15.49,15.6,10.55,13.5,14.0
Offering Price,"An offering price, generally, is the price at which something is offered for sale. In finance and investments, the offering price most often refers to the per-share value at which publicly-issued securities are made available for purchase by the investment bank during an initial public offering (IPO).",investopedia,1,47.62,12.5,0.0,13.52,16.0,9.84,15.75,13.66
Contingent Liability,A contingent liability is a liability that may occur depending on the outcome of an uncertain future event. A contingent liability is recorded if the contingency is likely and the amount of the liability can be reasonably estimated. The liability may be disclosed in a footnote on the financial statements unless both conditions are not met.,investopedia,1,27.11,14.1,15.5,12.01,12.0,9.36,14.0,13.91
TRADING CURB,See CIRCUIT BREAKER.,palgrave,0,59.97,5.6,0.0,7.32,8.3,14.31,0.5,1.2
ACTIVE PARTNERSHIP,"Any type of PARTNERSHIP where one or more of the PARTNERS provides CAPITAL and participates in the management of the operation. See also GENERAL PARTNERSHIP, LIMITED PARTNERSHIP, SILENT PARTNERSHIP.",palgrave,0,31.38,12.5,0.0,15.3,13.4,8.71,12.25,12.7
Inappropriability,See  inappropriable.,sam,1,-91.3,26.5,0.0,18.7,22.0,11.63,1.0,20.8
ROLL UP,"The process of exchanging one OPTION position for a new one with a higher STRIKE PRICE by closing out the original position. See also ROLL DOWN, ROLL FORWARD.",palgrave,0,65.73,7.6,0.0,8.63,7.6,8.84,8.0,9.89
MONEY AT CALL,"Secured funds lent by BANKS, BROKERS, DEALERS, and other FINANCIAL INSTITUTIONS to one another which must be repaid on demand. See also MONEY AT SHORT NOTICE.",palgrave,0,58.28,8.4,0.0,10.37,9.2,10.35,7.0,8.28
Triple Exponential Moving Average (TEMA),"The triple exponential moving average (TEMA) was designed to smooth price fluctuations, thereby making it easier to identify trends without the lag associated with traditional moving averages (MA). It does this by taking multiple exponential moving averages (EMA) of the original EMA and subtracting out some of the lag.",investopedia,1,29.69,15.2,0.0,14.39,17.1,10.97,18.75,18.78
UNBUNDLING,"The process of decomposing and segregating individ- ual financial services offered by BANKS so that customers can more precisely take advantage of, and pay for, those services they actually require.",palgrave,0,32.57,16.2,0.0,15.21,20.1,12.49,22.0,21.33
Transfer Pricing,Transfer pricing is an accounting practice that represents the price that one division in a company charges another division for goods and services provided.,investopedia,1,30.2,15.0,0.0,15.15,16.9,10.75,19.0,16.27
LIAR LOAN,"A residential MORTGAGE that is granted by a BORROWER to a LENDER on the basis of little or no documentation proving INCOME and NET WORTH, and which is therefore subject to falsification. Liar loans have historically been part of the SUBPRIME MORTGAGE and ALT-A mortgage sec- tor. See also NINJA LOAN.",palgrave,0,54.22,9.9,10.5,10.15,10.1,10.05,10.1666666666667,10.72
European Monetary System (EMS),"The European Monetary System (EMS) was an adjustable exchange rate arrangement set up in 1979 to foster closer monetary policy cooperation between members of the European Community (EC). The European Monetary System (EMS) was later succeeded by the European Economic and Monetary Union (EMU), which established a common currency, the euro.﻿﻿",investopedia,1,28.67,15.6,0.0,15.21,18.5,12.02,20.75,18.04
NONPAR SWAP,"An OVER-THE-COUNTER SWAP, such as a PREMIUM SWAP or DISCOUNT SWAP, which is transacted at off-market INTEREST RATES. Also known as OFF-MARKET SWAP.PARTICIPATING GUARANTEED INVESTMENT CONTRACT, SYNTHETIC GUARANTEED INVESTMENT CONTRACT.",palgrave,0,22.41,13.9,0.0,19.83,18.2,10.17,13.5,15.33
NEGATIVE WORKING CAPITAL,"A financial state where a company’s CURRENT LIABILITIES exceed its CURRENT ASSETS. Negative working cap- ital generally indicates the presence of LIQUIDITY problems, since insufficient assets exist to cover obligations coming due. See also NET WORKING CAPITAL, POSITIVE WORKING CAPITAL.",palgrave,0,15.68,14.4,14.6,16.81,14.3,11.4,10.6666666666667,15.32
SECOND MORTGAGE,"An additional MORTGAGE taken by a homeowner on the same property, which a BANK will only grant if the combination of the two mortgages is below a specified percentage of the appraised value of the prop- erty, and the borrower’s income can support the DEBT SERVICE.",palgrave,0,24.79,21.2,0.0,10.69,24.0,11.07,30.0,24.49
zero-investment portfolio,"A portfolio of zero net value, established by buying and shorting component securities, usually in the context of an arbitrage strategy.Final PDF to printer",zvi,0,13.28,17.4,0.0,14.45,16.7,14.04,19.0,21.27
Non-Sufficient Funds,"The term non-sufficient funds (NSF), or insufficient funds, refers to the status of a checking account that does not have enough money to cover transactions. NSF also describes the fee charged when a check is presented but cannot be covered by the balance in the account. You may see a “non-sufficient funds” or “insufficient funds” notice on a bank statement or at an ATM terminal (or on a receipt) when attempting to withdraw more money than your account holds.",investopedia,1,39.84,17.5,0.0,10.86,21.4,9.99,15.8333333333333,18.84
Complement,"A complementary good or service is an item used in conjunction with another good or service. Usually, the complementary good has little to no value when consumed alone, but when combined with another good or service, it adds to the overall value of the offering. A product can be considered a complement when it shares a beneficial relationship with another product offering, for example, an iPhone and the apps used with it.",investopedia,1,47.12,12.7,15.5,10.91,13.7,8.77,16.6666666666667,14.6
workout period,Realignment period of a temporary  misaligned yield relationship.,zvi,0,-4.33,15.9,0.0,20.95,16.2,15.88,7.0,23.2
PEOPLE PILL,"An ANTITAKEOVER DEFENSE where a well-regarded management team threatens to depart, en masse, in the event of a TAKEOVER. See also POISON PILL.",palgrave,0,68.26,6.6,0.0,10.54,8.9,10.39,6.25,9.82
Risk-Free Asset,"A risk-free asset is one that has a certain future return—and virtually no possibility of loss. Debt obligations issued by the U.S. Department of the Treasury (bonds, notes, and especially Treasury bills) are considered to be risk-free because the ""full faith and credit"" of the U.S. government backs them. Because they are so safe, the return on risk-free assets is very close to the current interest rate.",investopedia,1,62.88,8.7,11.2,10.5,10.9,9.65,10.375,10.9
net exports,The balance of trade in both goods and services.,fmi,0,96.18,2.1,0.0,6.06,4.0,7.59,3.5,3.6
Exports,Sale of goods and services by the domestic country to the rest of the world.,ncert,1,81.63,5.6,0.0,5.73,5.5,6.49,7.5,8.67
ONE-SIDED MARKET,"A market in which only one price, either a BID or OFFER, is quoted. This tends to be characteristic of ILLIQUID markets or those that are undergoing a period of financial stress, when DEALERS and SPECULATORS are unwilling to put up RISK CAPITAL.",palgrave,0,49.65,11.7,0.0,9.4,11.6,9.11,14.25,13.25
FOB,See FREE ON BOARD.,palgrave,0,118.18,-2.3,0.0,-2.91,-1.9,0.2,1.0,1.6
Primary market,"The market in which new stocks and bonds, in the form of initial public offers (IPOs), are issued.",9_12_louis,1,78.59,6.8,0.0,6.9,8.8,9.79,8.0,7.2
insurance principle,The law of averages. The average outcome for many independent trials of an experiment will approach the expected value of the experiment.,zvi,0,34.93,11.1,0.0,11.58,8.9,9.92,7.5,13.49
